Selector,NewPrefix,GroupName,SeqRange,Country,Region,Language Family,Language Subgroup,Latitude,Longitude,Reference,DOIorPMID,Notes
Mbuti,CdMbutiQM,Mbuti,16024-16383,Democratic Republic of the Congo,Central Africa,Niger-Congo,Bantu,1.67683,29.52107,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Mitsogo,GaMitsogoQM,Mitsogo,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,-1.27858,11.36992,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Ndumu,GaNdumuQM,Ndumu,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,-1.586,13.73718,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Ngumba,CmNgumbaQM,Ngumba,16024-16383,Cameroon,Central Africa,Niger-Congo,Bantu,3.21631,10.3231,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Nzebi,GaNzebiQM,Nzebi,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,-1.18924,12.74567,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Obama,GaObambaQM,Obamba,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,-1.39356,14.07649,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Orungu,GaOrunguQM,Orungu,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,-0.87868,9.06398,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Punu,GaPunuQM,Punu,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,-2.95553,11.1392,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Shake,GaShakeQM,Shake,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,-0.31291,13.05202,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Tigar,CmTigarQM,Tigar,16024-16383,Cameroon,Central Africa,Niger-Congo,Bantu,6.08195,11.48516,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
